Problem,Class,Atributes,Relationship
"An ambitious health and fitness tracker database is required to assist users in monitoring their health and tracking. The system should encompass various aspects, including Users, Health Metrics, Exercise Routines, Meal Plans, and Goals. Each User has an ID number, name, contact details, and personalized fitness goals. Health metrics should provide comprehensive data points such as weight, BMI, heartrate, and activity levels, time tracked. A health metrics is basically linked to user profiles. Exercise routines should offer detailed workout plans, exercise routines, and progress tracking capabilities. Meal plans are integral to the system, providing nutritional information, recipes, and meal logs for users to maintain a balanced diet. User should have the ability to set fitness goal, with the system tracking their progress over time. The system keep track of Recommendation with a unique recommendation ID, and other data which include activity data, meal data and recommendations. The system should offer data visualization tools, including charts and graphs, to help users understand their progress and trends. Goal achievement tracking should be seamless, with users receiving rewards or acknowledgments upon reaching their fitness milestones. Furthermore, the system should support community features, allowing users to share workouts, recipes, achievements, and progress with others, fostering a collaborative and motivating fitness community.","User, Metrics, Routines, Meal, Goal, Recommendation","User [ID, Name, Contact, Goals], Metrics [Weight, BMI, HeartRate, Activity, Time], Routines [Workout, Exercise, Progress], Meal [Nutritional, Recipes, Logs], Goal [Fitness, Progress], Recommendation [ID, Activity, Recommendations]","User and Metrics, User and Routines, User and Meal, User and Goal, User and Recommendation, Routines and Goal, Meal and Goal"
"An efficient customer support ticketing system is in demand to streamline customer inquiries, assign support agents, and track issue resolutions effectively. The system has the following requirements: Each customer should have a detailed profile, complete with VAT number, name, phone number, and address. Tickets are pivotal to the support process, each ticket has a unique ticket number, detailed issue description, and priority level. Each ticket has refernces to the customer and assigned agent. Support agents are essential entities, each agent is identified by agent ID and also has a name, contact detail, and ticket assignments. Products are integral to the support process, and each product should have detailed product ID, name, and category. The system should facilitate streamlined ticket creation processes, enabling customers to submit inquiries efficiently. Automated ticket routing based on product categories should ensure that inquiries reach the appropriate support agents. Priority levels should be assigned to tickets to ensure that critical issues receive prompt attention. Real-time ticket updates and notifications should keep customers informed about the status of their inquiries. Support agents should have tools for responding to tickets, tracking resolution progress, and closing tickets upon issue resolution. Additionally, the system should support knowledge base integration, providing customers with self-help options and frequently asked questions to assist with common inquiries. Advanced analytics should be offered to track customer support performance, including response times, issue resolutions, and customer satisfaction ratings.","Customer, Ticket, Agent, Product","Customer [VAT, Name, Phone, Address], Ticket [Number, Description, Priority], Agent [ID, Name, Contact, Assignments], Product [ID, Name, Category]","Customer and Ticket, Ticket and Agent, Ticket and Product"
"The following outlines the requirements for the usage and implementation of the Bewell app. The Bewell app is primarily designed for individuals who aim to lose or gain weight and require a structured medium to achieve their goals. The requirements are detailed as follows: The application will allow users to record exercises, including the number of repetitions and the diet followed. Each user is identified by a unique user ID, and also have name, weight goal, focus area (e.g., Abs, Legs), current weight, target weight, height, age, gender, and total calories burned. The app will feature a calendar layout where users can click on a specific day to find all the events, exercises, and diets scheduled for that day. Additionally, all activities, including exercises and running, will be monitored and recorded for the same date. The application can suggest videos and diet plans based on user inputs and schedule them on the calendar. Each exercise is recorded with a specific exercise number which uniquely identifies an exercise. In addition, exercise also have name, description, repetitions, target calories, focus area, and videos URL. A database of videos (which can include content from YouTube) will be created, and videos will be mapped based on user inputs, such as the body part the user wants to focus on. For low-data devices, thumbnails from the video at regular intervals will be mapped instead of full videos. Diet plans will be similarly mapped based on user preferences, with each diet having information recorded, diet ID, name, calories, type of meal, and diet plan. The application will also track the user's running activity, converting it into calories burned. Each running activity will be represented by the following activity number, date of the activity, distance covered, time, speed, calories burned, and route (tracked via GPS). The app will take the device's GPS location to track the user’s running route, working only when the user's internet and location services are enabled. This tracking helps in calculating the calories burned by considering the time taken and distance travelled by the user. Furthermore, the application will be able to work offline or in low-data mode. Given that network availability may be limited in some scenarios, the app is designed to function during offline periods or with reduced data usage. For low-data mode, pictures from the videos at regular intervals will be provided instead of streaming full videos, ensuring the information is conveyed with minimal data consumption. The app will store all data generated during offline mode and automatically upload it to the server when the device goes online.","User, Exercise, Diet, Activity, Video, Calendar","User [ID, Name, WeightGoal, Focus, Weight, TargetWeight, Height, Age, Gender, CaloriesBurned], Exercise [Number, Name, Description, Repetitions, TargetCalories, FocusArea, URL], Diet [ID, Name, Calories, Meal, Diet Plan], Activity [Number, Date, Distance, Time, Speed, Calories, Route], Video [URL, Thumbnails], Calendar [Date, Events, Exercises, Diets, Activities]","User and Exercise, User and Diet, User and Activity, User and Calendar, Exercise and Video, Calendar and Exercise, Calendar and Diet, Calendar and Running Activity"
"A bustling public library needs a modernized library management system to efficiently handle book cataloguing, checkouts, and patron interactions. The system should encompass the following requirements. Books should have comprehensive profiles featuring book ID, title, author, genre, publication year, ISBN, and availability status. A Patron should be registered with user ID, name, contact information, and borrowing history. Checkout should be recorded with checkout ID,and due date. Each checkout is associated with a patron and references to the borrowed book. Patrons should have the ability to reserve book that are currently checked out, with the system managing reservations and notifying patrons when reserved books become available. Librarians play a vital role in overseeing library operations, with librarian profiles featuring librarian ID, name, and responsibilities such as cataloguing new books and assisting patrons. The system should efficiently manage library resources, ensuring that patrons can easily locate and borrow books. Additionally, it should offer online catalogue search capabilities, automated overdue notifications, and a user-friendly interface for patrons to interact with the library's collection.","Book, Patron, Checkout, Librarian","Book [ID, Title, Author, Genre, Year, ISBN, Status], Patron [ID, Name, Contact, History], Checkout [ID, Due], Librarian [ID, Name, Responsibilities]","Patron and Checkout, Book and Checkout, Patron and Book, Librarian and Book, Librarian and Patron"
"An expanding e-commerce platform is on a quest to create a robust database system to support product listings, user accounts, transactions, and inventory management. Each product should be carefully recorded with product ID, name, description, price, and availability status. Users should have personalized user profiles enriched with user ID, username, contact information, and purchase history. Orders are central to the e-commerce experience, featuring order ID, and order date. Orders should have references to purchased products, and the user. Vendors, who supply product to the platform, should have vendor profiles with each vendor having a vendor ID, name, address, and product catalogue. Warehouses play a critical role in inventory management, with warehouse profiles featuring warehouse number, location, and inventory levels. The system should efficiently process orders, track product availability across multiple warehouses, and facilitate secure online payments. Additionally, it should provide users with personalized product recommendations, a seamless shopping cart experience, and real-time order tracking.","Product, User, Order, Vendor, Warehouse","Product [ID, Name, Description, Price, Status], User [ID, Username, Contact, History], Order [ID, Date], Vendor [ID, Name, Address, Catalogue], Warehouse [Number, Location, Inventory]","User and Order, Product and Order, Vendor and Product, Warehouse and Product"
"A dynamic event management company seeks a comprehensive database system to organize and track events, client details, vendor relationships, and financial transactions. The system should encompass various aspects, including Events, Clients, Vendors, Contracts, and Invoices. Each event is characterized with event ID, name, date, venue, and event description. Clients deserve personalized profiles featuring client ID, name, contact detail, and event history. Vendors are essential partners, with vendor profiles featuring vendor ID, service offered, address, and performance history. Contracts should detail agreements between client and vendor, with contract ID, terms, and services. A contract is associated with an event. Invoice should summarize financial transactions, with invoice ID, issue date, and payment tracking. The system should facilitate event planning, vendor selection, and client interaction, with features for managing budget, schedule, and event logistics. Additionally, it should provide financial reporting tools, including profit and loss statements, to ensure successful event management.","Event, Client, Vendor, Contract, Invoice","Event [ID, Name, Date, Venue, Description], Client [ID, Name, Contact, History], Vendor [ID, Services, Address, Performance], Contract [ID, Terms, Services], Invoice [ID, Date, Payment]","Event and Client, Event and Vendor, Client and Contract, Vendor and Contract, Contract and Invoice"
"A modern healthcare facility aims to implement an electronic health records (EHR) system to centralize patient records, medical histories, prescriptions, and appointments. The system should encompass the following specification: Patient should have comprehensive profile with patient ID, name, contact details, medical history, and insurance details. Medical record should document patient health information, with record ID, diagnoses, treatments, and treating medical staff. Prescription should detail medications, and dosages, with prescription ID, issue date. Prescription usually have patient reference. Appointment is pivotal, featuring appointment ID, and appointment date. A patient has an appointment and there is an attending medical staff for each appointment. The system should support secure access control, ensuring that authorized medical staff can access and update patient records. Additionally, it should offer automated appointment scheduling, prescription generation, and billing capabilities for efficient healthcare operations.","Patient, Record, Prescription, Appointment","Patient [ID, Name, Contact, History, Insurance], Record [ID, Diagnoses, Treatments, Staff], Prescription [Medications, Dosages, ID, Date, Patient], Appointment [ID, Date]","Patient and Record, Patient and Prescription, Patient and Appointment, Record and Prescription, Appointment and Record, Appointment and Prescription"
"A forward-thinking bank intends to create a robust online banking system to empower customers with account management, fund transfers, loan applications, and financial analytics. The system should encompass various aspects, including Accounts, Transactions, Loans, Customers, and Analytics. Account should feature account ID, account number, type, and account balance. Transactions are made on account. Each transaction should capture deposit and withdrawal activities, with transaction ID, and timestamp. Loans should document loan details, including loan ID, amount, interest rate, and repayment schedules. Customers deserve comprehensive profiles featuring customer ID, name, contact information, and account history. The system should support online fund transfers between accounts, loan application submissions, and bill payments. Additionally, it has analytics which provide customers with financial insights, transaction history, and budgeting tools to help them make informed financial decisions.","Account, Transaction, Loan, Customer, Analytics","Account [ID, Number, Type, Balance], Transaction [ID, Timestamp, Account], Loan [ID, Amount, Interest, Repayment], Customer [ID, Name, Contact, History], Analytics [Insights, History, Budgeting]","Customer and Account, Account and Transaction, Loan and Customer"
"A thriving retail chain seeks an advanced inventory management system to optimize stock levels, sales operations, and supply chain logistics. The system should encompass various aspects, comprising the following: Every product should be catalogued, with product ID, name, description, price, and stock levels. Each sale should record customer purchases, with sale ID, timestamp, and products sold. Suppliers play a crucial role in replenishing stock, with supplier profiles featuring supplier ID, name, contact detail, and product catalogues. Warehouse are pivotal hubs for inventory storage, with warehouse ID, location, and inventory level for various product. Another essential aspect of the system is shipment which is important for stock replenishment, with shipment ID, shipment date, quantity of product shipped and supplier reference. The system should support automated stock replenishment, inventory audit, and demand forecasting to ensure seamless retail operation. Additionally, it should feature reporting tools for sales analytics, inventory turnover, and supplier performance evaluation.","Product, Sale, Supplier, Warehouse, Shipment","Product [ID, Name, Description, Price, Stock], Sale [ID, Timestamp, Products], Supplier [ID, Name, Contact, Catalogues], Warehouse [ID, Location, Inventory], Shipment [ID, Date, Quantity]","Sale and Product, Supplier and Product, Warehouse and Product, Shipment and Supplier"
"An innovative travel agency aims to implement a comprehensive travel booking system to manage bookings, traveller profiles, destinations, and itineraries. The system should encompass various aspects, comprising the following: Booking should capture travel reservations, with booking number, travel date, and selected location. Travelers should have personalized profiles featuring traveller ID, name, contact details, and booking history. Travelers destination should be thoroughly recorded, with destination ID, name, description, and available travel package. Flight should detail flight options, including flight number, departure time, arrival time, and airline information. Hotel should provide accommodation options to travelers, with hotel ID, name, location, and room availability. The system should facilitate online booking, itinerary generation, and payment processing. Additionally, it should offer travellers detailed travel information, including flight details, hotel reservations, and destination highlights to enhance their travel experiences.","Booking, Traveler, Destination, Flight, Hotel","Booking [Number, Date, location], Traveler [ID, Name, Contact, History], Destination [ID, Name, Description, Package], Flight [Number, Departure, Arrival, Airline], Hotel [ID, Name, Location, Room]","Traveler and Booking, Booking and Destination, Booking and Flight, Booking and Hotel"
"A bustling restaurant chain needs a comprehensive inventory management system to track ingredients, menu items, kitchen operations, and supplier interactions. The system should encompass various aspects, comprising the following: Ingredient should be recorded with ingredient ID, name, measuring unit, and current stock level. Menu item should detail recipes, with item ID, name, description, and references to required ingredients. Kitchen operation is central to restaurant activities, with operation ID, timestamp, and references to menu items prepared. Suppliers are essential partners, with supplier profiles featuring supplier ID, name, contact details, and product catalogues. Order should capture ingredient orders from suppliers, with order ID, order date, and references to the ingredients ordered. The system should facilitate real-time kitchen inventory tracking, automated ingredient restocking, and cost analysis for menu items. Additionally, it should offer supplier performance evaluations, recipe costing, and waste reduction strategies for efficient restaurant operations.","Ingredient, Item, Operation, Supplier, Order","Ingredient [ID, Name, Unit, Stock], Item [ID, Name, Description, Ingredients], Operation [ID, Timestamp, Items], Supplier [ID, Name, Contact, Product], Order [ID, Date, Ingredients]","Item and Ingredient, Operation and Item, Supplier and Ingredient, Order and Ingredient"
"A dynamic job portal is on a quest to create an advanced database system to manage job listings, candidate profiles, employer interactions, and application tracking. The system should encompass various aspects, including Job Listings, Candidates, Employers, Applications, and Analytics. Job listings should feature job ID, title, description, company name, application deadline, and job category. Each candidate intending to apply for job should have comprehensive profile featuring candidate number, name, contact details, resume, and job application history. Employers deserve profiles enriched with employer ID, company information, contact details, and job posting. Applications should record candidate application, with application ID, timestamp, job listing and candidate reference. The system should support job searches, application submissions, and employer job postings. Additionally, it should offer analytics for job market trends, application success rates, and candidate matching to help job seekers and employers make informed decisions.","Job, Candidate, Employer, Application, Analytics","Job [ID, Title, Description, Company, Deadline, Category], Candidate [Number, Name, Contact, Resume, History], Employer [ID, Company, Contact, Posting], Application [ID, Timestamp, Listing], Analytics [Trends, Rates, Matching]","Candidate and Application, Employer and Job, Job and Application, Application and Candidate"
"A growing sales organization aims to implement a Customer Relationship Management (CRM) system to manage customer interactions and other sales related team activities. The system should encompass various aspects, including Customers, Leads, Opportunities, Sales Team, and Reporting. Customer should have detailed profile featuring customer ID, name, contact details, purchase history, and preferences. Lead represent potential customer, with lead ID, lead source, address, and lead status. Sales opportunities should detail potential sale deals, with opportunity ID, and values. Opportunity is associated customers and also refernces sales team. The sales team consists of sales representatives, each with a profile featuring team member ID, name, contact details, and sales performance metrics. The system should streamline lead management, opportunity tracking, and customer interactions to facilitate successful sales conversions. Additionally, Reporting provides sales analytics, sales forecasting, and conversion rates lead to support data-driven decision-making.","Customer, Lead, Opportunity, Team, Reporting","Customer [ID, Name, Contact, History, Preferences], Lead [ID, Source, Address, Status], Opportunity [ID, Values], Team [ID, Name, Contact, Performance], Reporting [Analytics, Forecasting, Rates]","Customer and Opportunity, Lead and Opportunity, Team and Opportunity"
"Store assistants should store the information for each car in the gallery, such as plate, model, daily price, etc. When customers want to rent a car, the system must show available car records in the gallery and be sorted according to their prices. The system lists the rented car records when the store assistant person enters the related button. The information includes rental code, car plate number, customer ID, rental start date, rental end date, and terms. Store assistant searches for available cars, submit renting a car, and produces rental reports, which comprises date, list of rented cars and rental summary. The store assistant updates the rental list when he rents a car or takes back a car. Profile of the store assistant are also captured in the system, which include employee ID, name, and designation. The main office sends overdue notices due to late arrivals. The store assistant records the customer's information, such as name, surname, address, plate number of the rented car, and leasing terms.","Car, Customer, Rental, Assistant, Office, Report","Car [Number, Model, Price, Availability], Customer [Name, Surname, Address, terms], Rental [Code, PlateNumber, CustomerID, StartDate, EndDate, Terms], Assistant [Name, EmployeeID, Designation], Report [Date, RentedCars, Summary]","Car and Rental, Customer and Rental, Assistant and Car, Assistant and Rental, Assistant and Customer, Office and Rental, Assistant and Report"
"Customers select at least one video for rental. The maximum number of tapes a customer can have outstanding on the rental is 20. The customer’s account number is entered to retrieve customer data and create an order. Each customer gets an ID card from ABC for identification purposes. This ID card has a bar code that can be read with the bar code reader. The card also contains customer additional information such as name, and address. Bar code IDs for each tape are entered, and video information from inventory is displayed. The video inventory file is updated. The information include title, genre, rental price, available copies. When all tape Ids are entered, the system computes the total bill. Money is collected, and the amount is entered into the system. Change is calculated and displayed. The rental transaction is created, printed, and stored. The customer signs the rental form, takes the tapes, and leaves. The video bar code ID is entered into the system to return a tape. The rental transaction is displayed, and the tape is marked with the return date. If past-due amounts are owed, they can be paid at this time; or the clerk can select an option that updates the rental with the return date and calculates past-due fees. Any outstanding video rentals are displayed with the amount due on each tape and the total amount due. Any past-due amount must be paid before new tapes can be rented.","Customer, Video, Transaction, Item, Clerk","Customer [Number, ID, Name, Address], Video [ID, Title, Genre, Price, Copies], Transaction [ID, Customer, Date, ReturnDate, Bill], Item [Transactions, DueDate, Past-Due]","Customer and Transaction, Transaction and Item, Video and Item, Transaction and Video, Customer and Item"
"A popular music streaming platform is looking to create a comprehensive system to manage music catalogues and other related information. The system should encompass various aspects, including and the requirements summarise as flows: Each song should be recorded with song ID, title, artist, genre, release year, and streaming availability. Playlist should represent curated music collections, with playlist ID, name, description, and song reference. User of the system maintained personalized profiles featuring user ID, username, and playlists created. Streaming data should capture user listening habit, by recording timestamp. A song can be streamed by a user. Artist deserve detailed profiles with artist ID, name, biography, and discography. The system should offer users seamless music discovery, playlist creation, and real-time streaming. Additionally, it should provide music recommendations, personalized playlists, and artist insights to enhance the music listening experience.","Song, Playlist, User, Streaming, Artist","Song [ID, Title, Artist, Genre, Year, Availability], Playlist [ID, Name, Description], User [ID, Username, Playlists], Streaming [Timestamps], Artist [ID, Name, Biography, Discography]","User and Playlist, Playlist and Song, User and Streaming, Song and Streaming, Artist and Song"
"A global corporation is seeking a comprehensive travel expense management system to track employee expenses, approvals, reimbursement requests, and expense reporting. The system should encompass various aspects, comprising the following: Each employee should have profile enriched with employee ID, name, contact information, and travel expense history. Expense report should detail incurred expenses, with report ID, expense category, and receipt. Employee subits an expense report for approval. Meanwhile, approval is necessary for expense reimbursement, with approval code, and approval status. Reimbursement should summarize approved expenses and reimbursement amount, with reimbursement ID, and processing date. The system should streamline expense reporting, approval workflows, and reimbursement processes, ensuring compliance with corporate policies and travel expense guidelines. Additionally, the system should offer expense analytics with budget tracking, and expense category analysis to optimize corporate spending.","Employee, Report, Approval, Reimbursement, Analytics","Employee [ID, Name, Contact, History], Report [ID, Expense Category, Receipts], Approval [Code, Status], Reimbursement [ID, Date], Analytics [Budget, Category]","Employee and Report, Report and Approval, Approval and Reimbursement"
"A modern hospital requires an advanced patient management system to handle patient admissions, medical records, prescriptions, appointments, and billing. The system should encompass various aspects, comprising the following: A Patient should have detailed profiles featuring patient ID, name, contact details, medical history, and insurance details. Medical record should document patient health information, with record ID, diagnoses, treatment, and medical staff reference. Prescription are issued to a patient which provides medications details, each prescription has prescription ID, and issue date. A patient usually has an appointment, which is an important aspect of the syste. Each appointment is recorded with appointment ID, appointment date, and medical staff reference. Billing should summarize healthcare charges, with invoice ID, issue date, amount, and patient reference. The system should support efficient patient admissions, secure medical record access, and appointment scheduling, while simplifying billing and insurance claims.","Patient, Record, Prescription, Appointment, Billing","Patient [ID, Name, Contact, History, Insurance], Record [ID, Diagnoses, Treatments, Staff], Prescription [Medications, ID, Date], Appointment [ID, Date, Staff], Billing [ID, Date, Amount]","Patient and Record, Patient and Prescription, Patient and Appointment, Record and Prescription, Appointment and Record"
"An e-learning platform is looking to create a comprehensive database system to manage its activities. courses, instructors, student enrolments, assignments, and assessments. The system should encompass the following requirements. Each Course should be thoroughly recorded with course code, title, description, and enrolment details. Courses are assigned to Instructors and each instructor is identified by instructor ID, name, email address, and contact information. Students enrolled for courses which allow them to attend coursework and submit assignments. Each student has a  user profile featuring student number, name, email address, and contact details. Assignment should detail course assignments, with assignment ID, due date, and submission records. An Assessment should include quizzes and exams, with assessment number, question details, students enrollments, and assessment score. The system should support course enrolments, assignment submissions, and grading, providing a seamless e-learning experience.","Course, Instructor, Student, Assignment, Assessment","Course [Code, Title, Description, Enrolment], Instructor [ID, Name, Email, Contact], Student [Number, Name, Email, Contact], Assignment [ID, Date, Submission], Assessment [Number, Question, Enrolments, Scores]","Course and Instructor, Course and Student, Assignment and Student, Assessment and Student"
"The purpose of this project is designing a hotel management system. A renowned hotel chain is looking to implement a comprehensive reservation and management system to streamline the hotel business and activities effectively. The system should encompass various aspects, including Room, Guest, Reservations, Housekeeping, and Billing. Each room should be categorized with room number, type, description, capacity, and rate. Guest deserves personalized profiles with guest ID, name, phone number, contact information, check-in, check-out, and room preferences. Reservation should detail guest bookings, with reservation code, check-in date, check-out date, and assigned room. Housekeeping records should track room cleaning schedules, with housekeeping ID, timestamp, room number, and cleaning status. Billing should summarize charges for room stays, additional services, and taxes, with invoice number, issue date, and number of days guest stayed. The system should offer online room bookings, room availability management, efficient check-in and check-out procedures, and real-time billing. Additionally, it should provide housekeeping management tools and guest feedback collection for enhanced guest experiences.","Room, Guest, Reservation, Housekeeping, Billing","Room [Number, Types, Descriptions, Capacity, Rates], Guest [ID, Name, Contact, Check-in, Check-out, Room], Reservation [Code, Check-in, Check-out, Guest, Room], Housekeeping [ID, Timestamps, Room, Cleaning], Billing [Number, Dates, Days]","Guest and Reservation, Reservation and Room, Housekeeping and Room, Billing and Guest"
"The objective of this project is to develop a comprehensive fleet management system for a transportation company to enhance operational efficiency and service reliability. This robust system will oversee vehicle maintenance, driver assignments, routes, fuel consumption, and cargo tracking. It will encompass various aspects, including information about Vehicles, Drivers, Routes, Fuel Logs, and Cargo. Each vehicle will be identified by a vehicle number, make, model, maintenance schedule, and GPS tracking. Vehicles will be assigned to drivers, who will have detailed profiles including driver ID, name, address, and driving history. Vehicles will also be assigned to specific routes, which will be planned and tracked, with each route identified by a route code and having a start point, end point, and scheduled time. Fuel logs will record fuel consumption with log ID, purchase date, and fuel data, keeping track of vehicle fuel-related records. Cargo will be tracked from origin to destination, with cargo ID, contents, weight, reference route, and delivery status. The system will support vehicle maintenance scheduling, driver assignments, route optimization, fuel efficiency analysis, and cargo tracking to ensure efficient and reliable transportation services.","Vehicle, Driver, Route, Log, Cargo","Vehicle [Number, Make, Model, Maintenance, GPS], Driver [ID, Name, Address, History, Vehicle], Route [Code, Start, End, Time], Log [ID, Date, Fuel], Cargo [ID, Contents, Weight, Status]","Driver and Vehicle, Route and Vehicle, Log and Vehicle, Cargo and Route"
"In today’s fast-paced world, effective personal finance management is crucial for achieving financial stability and meeting long-term objectives. To assist individuals in managing their finances efficiently, a personal finance management system is required. This system will help track income, expenses, budgets, investments, and financial goals. The system comprises the following requirements: Income should be recorded with income ID, source, amount, date, and reference account. Expenses should detail spending categories, with expense code, category, amount, date, and reference account. Budgets should be created to set spending limits for various expense categories, with budget ID, category, limit, and tracking of the actual amount spent. Investments should include details of investment portfolios, with investment ID, asset allocations, investment values, and historical performance. Goals should be defined, such as saving for a vacation or retirement, with goal ID, target amount, and progress tracking. The system should facilitate expense tracking, budget adherence, investment portfolio management, and goal tracking to help individuals achieve financial stability and meet their financial objectives.","Income, Expenses, Budget, Investments, Goals","Income [ID, Source, Amount, Date, Account], Expenses [Code, Category, Amount, Date, Account], Budget [ID, Category, Limit, Amount], Investments [ID, Asset, Values, Performance], Goals [ID, Amount, Tracking]","Income and Expenses, Budget and Goals"
"To enhance operational efficiency in the logistics industry, a comprehensive inventory optimization system is needed. This system will manage stock levels, forecast demand, process orders, handle supplier interactions, and track shipments effectively. The requirements are outline as follows: Each item in the inventory should be profiled with item ID, description, current stock level, and lead time. Items are supplied by a designated supplier. Demand forecast should predict future demand for inventory items, with forecast ID, forecasted quantity, and timeframe. Items has a demand forecast. Order should be processed based on demand forecasts, each order is identified by an order number, order date, and order quantity. Supplier should be managed with supplier profiles featuring supplier ID, telephone number, contact information, product catalogue, and lead time commitments. Shipments should record the movement of goods and they are made based on order references; thus, each shipment has shipment number, timestamp, and tracking information. The system should support automated demand forecasting, inventory replenishment, order tracking, and supplier performance evaluation to optimize supply chain operations.","Item, Forecast, Order, Supplier, Shipment","Item [ID, Description, Stock, Time, Supplier], Forecast [ID, Item, Quantity, Timeframe], Order [Number, Date, Item, Quantity], Supplier [ID, Telephone, Contact, Product, Commitments], Shipment [Number, Timestamp, Tracking]","Item and Supplier, Forecast and Item, Order and Item, Supplier and Order, Shipment and Order"
"In order to optimise project implementation and improve decision-making, a project management company aims to develop a comprehensive project management software system. This system will manage IT projects and related activities efficiently, providing robust tools for planning, task management, resource allocation, and progress tracking. The system requirements are comprehensively detailed in the following summary, which outlines the essential features and functionalities needed to meet the project’s objectives. Each project should be defined with project ID, name, description, start date, and deadline. Task should be created within project, with task ID, description, due date, and status. To accomplish a task, certain resources are allocated. Each resource is identified by resource ID, name, and address. Timeline should keep track of project progress, task dependencies, and resource allocation. Report should provide insights into project completion status, resource usage, and project profitability. The system should support project planning, task assignment, progress tracking, and resource management, facilitating efficient project execution and informed decision-making.","Project, Task, Resource, Timeline, Reports","Project [ID, Name, Description, Start, Deadline], Task [ID, Description, Date, Status], Resource [ID, Name, Address], Timeline [Progress, Dependencies, Allocation], Reports [Status, Usage, Profitability]","Project and Task, Task and Resource, Timeline and Project, Reports and Project"
"A charity organization requires a donation management system to record donations, issue donation receipts, track donor contributions, and analyse fundraising campaigns. The system should encompass various aspects, including donations, receipts, contributions, and campaign. Each donation should be recorded with donation number, timestamp, donor information, and donation amount. For every donation, receipt is issued. Receipt should be issued for tax purposes, with receipt ID, and timestamp. Each contribution should track donor contributions over time, with contribution ID, total amount, and donor references. Campaign analysis should evaluate fundraising campaign performance, donor demographics, and contribution trends. The system should support donation recording, receipt generation, contribution tracking, and campaign analysis for effective charity fundraising.","Donation, Receipt, Contribution, Campaign","Donation [Number, Timestamp, Information, Amount], Receipt [ID, Timestamp], Contribution [ID, Amount, Donor], Campaign [ID, Performance, Demographics, Trends]","Donation and Receipt, Campaign and Donation, Campaign and Contribution"
"To enhance agricultural productivity and management, an agricultural organization aims to develop a comprehensive database system. This system will facilitate the monitoring of crop growth, tracking of weather conditions, and analysis of agricultural data, thereby supporting more informed decision-making and efficient crop management. The system requirements specification is captured as follows: Each crop monitor should record monitor ID, crop condition, growth stages, pest observations, and references to fields. Weather data should collect weather forecasts, weather history patterns, weather ID, weather details, and references to locations. Data analysis should assess crop performance, forecast yield, and identify agricultural trends, with analysis numbers, results, and references to fields. The system should support crop monitoring, weather data retrieval, and data analysis to effectively manage agricultural crops.","Monitor, Weather, Analysis, Fields, Locations","Monitor [ID, Condition, Stages, Observations], Weather [Forecasts, Pattern, ID, Details], Analysis [Performance, Yield, Trends, Number, Results]","Monitor and Fields, Weather and Locations, Analysis and Fields"
"A file system contains information from multiple documents. The document can be added and removed from the file, and all the documents can be listed. Each document uses an editor suitable for creation. A document contains the document's name, creation date, author information, and size. The user determines the assignment of the editor to the documents. Each editor has a name and file management task. The system has three editors that allow you to manage documents: Text Editor, Image Editor, and Video Editor.","Document, Editor, File","Document [Name, Date, Author, Size, Editors], Editor [Name, File Management Task], File [Documents]","Document and Editor, File and Document, Editor and File"
"Turgutlu football team has more than one football player. A soccer player can be transferred to the football team. A football player can be sold to another football team. The system can perform the first eleven and spare team listing operations. Football players have team, name, age, and number information. Each football player has a different duty and plays football according to their position. Positions are forward, midfield, and defence. There are strikers in the forward, and they play to score goals. There is a goalkeeper in the defence, and he plays to clear the ball. There are midfielders in the midfield, distributing the ball around the pitch. On the system, when the striker scores goals, the system announces his number and name. When the goalkeeper saves the goal, the system announces his number and name.","Team, Player, Position, Striker, Midfielder, Goalkeeper","Team [Name, Players], Player [Name, Age, Number, Position, Team], Position [Name], Striker [Goals], Midfielder [Assists], Goalkeeper [Saves]","Team and Player, Player and Position, Player and Striker, Player and Midfielder, Player and Goalkeeper"
"A company requires an attendance tracking system to record employee clock-ins, manage work schedules, track leave requests, and generate attendance reports. The system requirements are summarised as follows: Each clock-in should record employee attendance, with clock-in ID, timestamp, and clock-in location. Each employee has a schedule with schedule number, date work hours and shifts. In references to schedule, leave requests should be submitted by employees, with request ID, time, and leave details. Reports should provide attendance summaries, with report number, arrivals, and leave history. The system should support employee attendance recording, schedule management, leave request processing, and attendance reporting for efficient workforce management. Employee should have a profile with employee number, name, email, phone, rank, and address.","Clock-in, Schedule, Requests, Reports, Employee","Clock-in [ID, Timestamp, Location], Schedule [Number, Date, Hours, Shifts], Requests [ID, Time, Details], Reports [Number, Arrivals, History], Employee [Number, Name, Email, Phone, Rank, Address]","Clock-in and Employee, Schedule and Employee, Requests and Employee, Requests and Schedule"
